REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,CELLAR,BASEFIN,ATTIC,ATTICFIN,STORIES,PRKGPLC1,KOWNRENT,YEARMADERANGE,TOTROOMS,NCOMBATH,NHAFBATH,WALLTYPE,ROOFTYPE,DRAFTY,RECBATH,MONTUB,TVCOLOR,TVSIZE1,TVONWD1,TVONWE1,FUELHEAT,TEMPHOME,TEMPGONE,TEMPNITE,MOISTURE,USEMOISTURE,AIRCOND,COOLTYPE,AGECENAC,TEMPHOMEAC,TEMPGONEAC,TEMPNITEAC,BASECOOL,ATTCCOOL,GARGCOOL,NUMCFAN,NOTMOIST,HHSEX,HHAGE,EMPLOYHH,EDUCATION,NUMADULT,NUMCHILD,ATHOME,MONEYPY,ENERGYASST,CDD65,CLIMATE_REGION_PUB,HDD65,KWH,KWHTV1,KWHHTBPMP,KWHHTBHEAT,DOLLAREL,DOLELTV1,DOLELHTBPMP,DOLELHTBHEAT,CUFEETNG,DOLLARNG,GALLONLP,GALLONFO,TOTALDOL,WOODAMT
Midwest,West North Central,NONE,R,Single-family detached house,Yes,Yes,Yes,No,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,5,2,0,Siding,Shingles (composition or asphalt),Never,No,NA,0,Not applicable,Not applicable,Not applicable,Electricity,75,70,68,No,NA,Yes,Central air conditioning system,20 years or older,75,70,68,Yes,No,No,2,Yes,Female,82,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",1,0,5,"$20,000 - $39,999",No,779,Cold/Very Cold,6556,14945.299,0,0,0,1334.75,0,0,0,0,0,0,0,1334.75,NA
South,East South Atlantic,MICRO,R,Single-family detached house,Yes,No,Yes,No,One story,No,Owned or being bought by someone in your household,1950 to 1959,6,1,0,Brick,Metal,Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,65,65,65,No,NA,Yes,Central air conditioning system,5 to 9 years old,85,85,85,No,No,Not applicable,5,No,Female,44,Employed full-time,Some college or Associate’s degree,2,2,3,"$80,000 to $99,999",No,1035,Mixed-Humid,3777,19186.999,190.138,0,0,1991.44,19.72,0,0,0,0,0,0,1991.44,NA
South,West South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1970 to 1979,4,1,0,Brick,Not applicable,Never,No,NA,2,40 to 59 inches,1 to 3 hours,7 to 10 hours,Electricity,75,75,75,No,NA,Yes,Central air conditioning system,10 to 14 years old,75,75,75,Not applicable,Not applicable,Not applicable,0,No,Male,51,Employed full-time,Less than high school diploma or GED,3,1,5,"$20,000 - $39,999",No,2181,Mixed-Humid,3189,15183.258,150.608,0,0,1578.18,15.65,0,0,0,0,0,0,1578.18,NA
Midwest,East North Central,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,2010 to 2015,10,2,1,Brick,Shingles (composition or asphalt),Never,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,70,68,68,No,NA,Yes,Central air conditioning system,5 to 9 years old,70,70,70,No,No,No,8,No,Female,35,Employed full-time,"Bachelor’s degree (for example: BA, BS)",3,0,5,"$140,000 or more",No,986,Cold/Very Cold,5355,6734,190.621,0,0,759,21.49,0,0,1221.898,1236.06,0,0,1995.06,NA
Midwest,East North Central,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1970 to 1979,1,1,0,Brick,Ceramic or clay tiles,Some of the time,No,NA,2,40 to 59 inches,More than 10 hours,7 to 10 hours,Electricity,70,58,60,Yes,0,Yes,Individual window/wall or portable units,Not applicable,65,70,65,Not applicable,Not applicable,Not applicable,0,No,Male,23,Employed full-time,Some college or Associate’s degree,1,0,5,"$20,000 - $39,999",No,1305,Cold/Very Cold,5267,4288.419,471.92,0,0,668.12,73.52,0,0,466.101,451.67,0,0,1119.78,NA
Northeast,New England,METRO,R,Single-family detached house,Yes,No,Yes,No,One story,No,Owned or being bought by someone in your household,1980 to 1989,7,2,0,Siding,Metal,Never,No,NA,1,27 inches or less,1 to 3 hours,1 to 3 hours,Electricity,68,66,66,Yes,2,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,1,Yes,Male,69,Not employed/retired,Some college or Associate’s degree,1,0,5,"$60,000 to $79,999",No,475,Cold/Very Cold,6945,6898.969,36.276,0,0,1364.65,7.16,0,0,0,0,0,0,1364.65,1
Midwest,East North Central,METRO,R,Single-family detached house,Yes,Yes,Yes,No,One story,No,Owned or being bought by someone in your household,1970 to 1979,7,2,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,28 to 39 inches,4 to 6 hours,7 to 10 hours,Natural gas from underground pipes,70,65,70,Yes,8,Yes,Central air conditioning system,15 to 19 years old,62,60,62,Yes,Yes,Not applicable,3,Yes,Female,28,Employed part-time,"Bachelor’s degree (for example: BA, BS)",2,3,4,"$60,000 to $79,999",No,840,Cold/Very Cold,6441,11821.983,129.122,0,0,1491.24,16.26,0,0,497.071,496.05,0,0,1987.29,NA
Midwest,West North Central,MICRO,C,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,Before 1950,5,1,0,Siding,Shingles (composition or asphalt),All the time,No,NA,1,27 inches or less,More than 10 hours,More than 10 hours,Natural gas from underground pipes,70,60,55,No,NA,Yes,Individual window/wall or portable units,Not applicable,60,80,60,Not applicable,Not applicable,Not applicable,0,No,Female,47,Not employed/retired,High school diploma or GED,2,0,4,"$40,000 - $59,999",Yes,870,Cold/Very Cold,6778,9278.053,483.982,0,0,1083.44,56.52,0,0,725.961,686.78,0,0,1770.22,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Rented,1970 to 1979,6,2,0,Stucco,Shingles (composition or asphalt),Never,No,NA,2,40 to 59 inches,1 to 3 hours,4 to 6 hours,Electricity,67,62,62,No,NA,Yes,Individual window/wall or portable units,Not applicable,85,85,70,Not applicable,No,No,6,No,Female,36,Employed part-time,Some college or Associate’s degree,2,2,4,"$80,000 to $99,999",No,1318,Hot-Dry/Mixed-Dry,1975,5599.556,138.522,0,0,765.23,18.87,0,0,269.769,295.25,0,0,1060.48,NA
South,East South Atlantic,NONE,R,Single-family detached house,Yes,Yes,Yes,No,Two stories,No,Owned or being bought by someone in your household,2000 to 2009,10,2,1,Wood,Metal,Never,No,NA,3,40 to 59 inches,4 to 6 hours,1 to 3 hours,Propane (bottled gas),70,69,69,No,NA,Yes,Central air conditioning system,10 to 14 years old,70,75,75,No,No,Not applicable,1,No,Male,73,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$120,000 to $139,999",No,2959,Hot-Humid,1404,11716.438,160.405,0,0,1416.68,19.37,0,0,0,0,135,0,1729.68,0.5
South,West South Atlantic,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1970 to 1979,6,2,0,Brick,Not applicable,Never,No,NA,1,28 to 39 inches,More than 10 hours,More than 10 hours,Electricity,78,78,75,No,NA,Yes,Central air conditioning system,5 to 9 years old,73,73,76,Not applicable,Not applicable,Not applicable,1,No,Male,33,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,2,5,"$40,000 - $59,999",No,4747,Hot-Humid,519,7084.845,299.596,0,0,661.74,27.91,0,0,0,0,0,0,661.74,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,5,2,0,Stucco,Shingles (composition or asphalt),Never,No,NA,1,40 to 59 inches,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,70,68,65,Yes,12,Yes,Individual window/wall or portable units,Not applicable,75,75,68,Not applicable,Not applicable,No,0,No,Male,41,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,2,3,"$140,000 or more",No,337,Marine,1930,6411,84.44,0,0,1218,16.04,0,0,665.298,989.35,0,0,2207.35,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,Yes,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1960 to 1969,6,2,1,Siding,Shingles (composition or asphalt),Never,No,NA,1,27 inches or less,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,68,68,68,No,NA,Yes,Central air conditioning system,15 to 19 years old,80,68,78,Yes,Not applicable,No,4,Yes,Male,72,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$20,000 - $39,999",No,942,Mixed-Humid,5415,3544.424,68.549,0,0,564.47,10.92,0,0,229.764,440.95,0,108.2,1271.04,NA
West,Mountain South,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1990 to 1999,7,2,0,Stucco,Ceramic or clay tiles,Never,Yes,1,3,60 inches or more,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,67,62,70,No,NA,Yes,Central air conditioning system,10 to 14 years old,79,84,85,Not applicable,Not applicable,No,5,No,Female,58,Employed part-time,Some college or Associate’s degree,2,0,4,"$40,000 - $59,999",No,4028,Hot-Dry/Mixed-Dry,1522,11222.758,501.94,40.036,0,1489.73,66.52,5.31,0,273.722,379.08,0,0,1868.81,NA
West,Pacific,METRO,R,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,2010 to 2015,4,2,0,Wood,Not applicable,Never,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Electricity,67,60,60,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Male,64,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$100,000 to $119,999",No,237,Marine,4284,4570.464,186.924,0,0,463.65,18.96,0,0,0,0,0,0,463.65,NA
South,West South Atlantic,MICRO,C,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,Before 1950,2,1,0,Brick,Shingles (composition or asphalt),Never,No,NA,2,28 to 39 inches,7 to 10 hours,4 to 6 hours,Electricity,72,72,72,No,NA,Yes,Central air conditioning system,10 to 14 years old,78,85,79,Not applicable,Not applicable,Not applicable,0,No,Female,74,Not employed/retired,Some college or Associate’s degree,1,0,5,"Less than $20,000",No,3005,Hot-Humid,1899,6890,336.18,0,0,798,38.94,0,0,61.673,69,0,0,867,NA
West,Mountain North,METRO,U,Single-family detached house,Yes,Yes,Yes,No,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,13,3,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,27 inches or less,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,68,65,68,Yes,5,Yes,Central air conditioning system,10 to 14 years old,78,78,75,Yes,No,No,1,No,Male,43,Employed full-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,2,1,"$60,000 to $79,999",No,1435,Cold/Very Cold,4518,5580.174,102.172,0,0,693.14,12.65,0,0,551.379,558.41,0,0,1251.55,NA
South,East South Atlantic,NONE,R,Single-family detached house,Yes,Yes,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1970 to 1979,8,2,0,Brick,Shingles (composition or asphalt),Never,No,NA,5,40 to 59 inches,More than 10 hours,More than 10 hours,Electricity,73,70,72,No,NA,Yes,Both a central system and individual units,5 to 9 years old,73,75,71,Yes,Not applicable,No,6,Yes,Female,39,Employed part-time,Some college or Associate’s degree,4,2,5,"$60,000 to $79,999",No,1982,Mixed-Humid,2781,21645.144,538.637,0,0,2206.23,54.86,0,0,0,0,193.872,0,2618.29,NA
Midwest,East North Central,MICRO,C,Single-family detached house,Yes,No,Yes,No,Two stories,No,Owned or being bought by someone in your household,Before 1950,6,1,1,Siding,Shingles (composition or asphalt),Never,No,NA,2,40 to 59 inches,1 to 3 hours,4 to 6 hours,Natural gas from underground pipes,67,62,62,Yes,3,Yes,Central air conditioning system,5 to 9 years old,78,80,77,No,No,Not applicable,4,No,Female,47,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,0,1,"$20,000 - $39,999",Yes,825,Cold/Very Cold,6184,12038.705,143.055,0,0,1329.39,15.77,0,0,1359.118,809.7,0,0,2139.09,NA
West,Pacific,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1980 to 1989,2,1,0,Stucco,Not applicable,Never,No,NA,1,27 inches or less,7 to 10 hours,More than 10 hours,Not applicable,NA,NA,NA,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,1,No,Female,62,Employed part-time,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$20,000 - $39,999",Yes,1200,Hot-Dry/Mixed-Dry,666,2406.736,326.341,0,0,220.01,29.61,0,0,110.515,150,0,0,370.01,NA
South,South Atlantic,METRO,U,Single-family detached house,Yes,No,Yes,No,One story,No,Owned or being bought by someone in your household,1950 to 1959,6,2,0,Brick,Shingles (composition or asphalt),Some of the time,No,NA,3,28 to 39 inches,4 to 6 hours,More than 10 hours,Natural gas from underground pipes,68,65,65,No,NA,Yes,Central air conditioning system,10 to 14 years old,76,72,76,No,No,Not applicable,7,No,Female,62,Employed full-time,Some college or Associate’s degree,2,0,1,"$40,000 - $59,999",No,1454,Mixed-Humid,4503,14276.2,167.657,0,0,1805.63,21.2,0,0,870.49,987.42,0,0,2793.05,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,Yes,Owned or being bought by someone in your household,1950 to 1959,5,1,0,Shingle (composition),Shingles (composition or asphalt),Never,No,NA,1,27 inches or less,7 to 10 hours,7 to 10 hours,Natural gas from underground pipes,68,65,60,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,2,No,Female,70,Not employed/retired,High school diploma or GED,1,0,2,"$20,000 - $39,999",No,590,Marine,3819,4613.268,297.008,0,0,633.77,40.64,0,0,484.955,488.82,0,0,1122.59,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,Split-level,Yes,Owned or being bought by someone in your household,1970 to 1979,8,2,0,Stucco,Wood shingles/shakes,Some of the time,No,NA,3,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,68,55,60,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Female,67,Not employed/retired,Some college or Associate’s degree,2,0,3,"$100,000 to $119,999",No,267,Marine,2020,5330.733,189.721,0,0,1068.74,38.04,0,0,286.105,385.1,0,0,1453.84,NA
West,Mountain South,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1980 to 1989,9,2,0,Stucco,Other,Never,No,NA,3,60 inches or more,4 to 6 hours,1 to 3 hours,Natural gas from underground pipes,72,65,62,No,NA,Yes,Central air conditioning system,Less than 2 years old,72,80,70,Not applicable,Not applicable,No,5,No,Male,69,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$80,000 to $99,999",No,1435,Hot-Dry/Mixed-Dry,3851,12608.688,250.494,0,0,1902.55,37.74,0,0,577.592,469.01,0,0,2371.56,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,7,2,0,Stucco,Other,Never,No,NA,2,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,72,65,62,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Male,70,Not employed/retired,Some college or Associate’s degree,1,0,5,"Less than $20,000",Yes,1263,Hot-Dry/Mixed-Dry,654,1961.957,184.147,0,0,158.78,14.77,0,0,83.729,85.9,0,0,244.67,NA
Northeast,Middle Atlantic,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,2000 to 2009,6,2,1,Siding,Shingles (composition or asphalt),Some of the time,No,NA,1,28 to 39 inches,4 to 6 hours,Less than 1 hour,Electricity,67,67,67,Yes,4,Yes,Central air conditioning system,10 to 14 years old,72,72,72,No,No,No,2,No,Female,63,Not employed/retired,Some college or Associate’s degree,2,0,5,"$20,000 - $39,999",No,1153,Cold/Very Cold,5251,18116.867,130.724,0,0,2556.36,18.43,0,0,0,0,0,0,2556.36,NA
Midwest,East North Central,MICRO,C,Single-family detached house,No,Not applicable,No,Not applicable,One story,No,Owned or being bought by someone in your household,2000 to 2009,8,2,0,Siding,Shingles (composition or asphalt),Never,Yes,3,2,40 to 59 inches,More than 10 hours,7 to 10 hours,Propane (bottled gas),65,60,60,No,NA,Yes,Individual window/wall or portable units,Not applicable,86,86,75,Not applicable,Not applicable,Not applicable,2,No,Female,53,Not employed/retired,High school diploma or GED,2,0,5,"$40,000 - $59,999",No,702,Cold/Very Cold,5927,10002.419,832.062,115.691,0,1459.35,121.4,16.88,0,0,0,601.941,0,2505.32,NA
Midwest,West North Central,METRO,R,Single-family detached house,Yes,No,No,Not applicable,One story,No,Owned or being bought by someone in your household,Before 1950,6,1,0,Wood,Shingles (composition or asphalt),Some of the time,No,NA,0,Not applicable,Not applicable,Not applicable,Propane (bottled gas),72,72,72,No,NA,Yes,Central air conditioning system,5 to 9 years old,70,70,70,No,Not applicable,Not applicable,1,Yes,Male,21,Employed full-time,Less than high school diploma or GED,2,0,5,"$40,000 - $59,999",No,1325,Mixed-Humid,4920,9939.567,0,0,0,1220.55,0,0,0,0,0,545.602,0,2035.2,1.1
Midwest,West North Central,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,Before 1950,4,1,0,Siding,Shingles (composition or asphalt),Most of the time,No,NA,3,28 to 39 inches,More than 10 hours,More than 10 hours,Natural gas from underground pipes,72,72,72,No,NA,Yes,Individual window/wall or portable units,Not applicable,65,65,65,Not applicable,Not applicable,Not applicable,2,No,Female,35,Employed part-time,Some college or Associate’s degree,3,1,5,"Less than $20,000",No,678,Cold/Very Cold,6378,3628.455,469.486,0,0,634.86,82.14,0,0,998.698,777.74,0,0,1412.6,NA
Northeast,Middle Atlantic,METRO,C,Single-family detached house,Yes,Yes,Yes,No,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,6,1,1,Siding,Shingles (composition or asphalt),Never,No,NA,2,28 to 39 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,70,70,70,Yes,6,Yes,Central air conditioning system,5 to 9 years old,73,73,73,Yes,No,No,2,Yes,Male,85,Not employed/retired,High school diploma or GED,2,0,5,"$20,000 - $39,999",No,388,Cold/Very Cold,7683,7541.463,108.426,0,0,1000.73,14.35,0,0,608.394,1286.02,0,0,2286.75,NA
South,East South Atlantic,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,1950 to 1959,7,1,1,Brick,Shingles (composition or asphalt),Some of the time,No,NA,1,27 inches or less,1 to 3 hours,1 to 3 hours,Electricity,70,66,66,No,NA,Yes,Central air conditioning system,5 to 9 years old,72,75,72,Not applicable,No,Not applicable,7,No,Female,78,Not employed/retired,High school diploma or GED,1,0,5,"$20,000 - $39,999",No,1844,Mixed-Humid,3173,12943.28,76.766,0,0,1433.25,8.5,0,0,0,0,0,0,1433.25,NA
South,West South Atlantic,METRO,R,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1990 to 1999,7,2,0,Brick,Shingles (composition or asphalt),Never,Yes,0,1,28 to 39 inches,More than 10 hours,More than 10 hours,Electricity,75,75,75,No,NA,Yes,Central air conditioning system,Less than 2 years old,75,75,75,Not applicable,No,No,3,No,Female,85,Not employed/retired,High school diploma or GED,2,0,5,"$20,000 - $39,999",No,3466,Hot-Humid,1337,13227.029,302.796,0,0,1320.02,30.22,0,0,0,0,0,0,1320.02,NA
West,Pacific,NONE,R,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1950 to 1959,6,2,0,Wood,Shingles (composition or asphalt),Some of the time,No,NA,3,40 to 59 inches,7 to 10 hours,7 to 10 hours,Fuel oil/kerosene,65,58,60,Yes,4,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,3,Yes,Female,59,Employed part-time,"Bachelor’s degree (for example: BA, BS)",2,0,5,"$40,000 - $59,999",No,7,Cold/Very Cold,8162,9620.786,309.976,0,0,2494.65,80.38,0,0,0,0,0,478.872,3667.61,0.8
Midwest,West North Central,METRO,R,Single-family detached house,Yes,Yes,No,Not applicable,One story,Yes,Owned or being bought by someone in your household,1990 to 1999,11,3,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,2,28 to 39 inches,4 to 6 hours,4 to 6 hours,Electricity,72,72,70,Yes,5,Yes,Central air conditioning system,Less than 2 years old,70,70,70,Yes,Not applicable,No,3,Yes,Female,62,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",4,0,5,"$140,000 or more",No,1160,Cold/Very Cold,5394,33307.622,110.894,0,0,3145.87,10.47,0,0,0,0,0,0,3145.87,2.6
South,West South Atlantic,NONE,R,Mobile home,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,1990 to 1999,6,2,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,4,40 to 59 inches,4 to 6 hours,7 to 10 hours,Electricity,70,68,66,No,NA,Yes,Both a central system and individual units,5 to 9 years old,70,70,70,Not applicable,Not applicable,Not applicable,4,No,Female,54,Employed part-time,High school diploma or GED,2,1,5,"$20,000 - $39,999",No,3248,Hot-Humid,1171,18613,226.963,0,0,1657,20.21,0,0,0,0,0,0,1657,0.5
Midwest,East North Central,METRO,U,Single-family detached house,Yes,No,Yes,No,Two stories,No,Owned or being bought by someone in your household,Before 1950,7,2,0,Siding,Shingles (composition or asphalt),Some of the time,No,NA,5,40 to 59 inches,1 to 3 hours,4 to 6 hours,Propane (bottled gas),70,70,70,Yes,4,Yes,Central air conditioning system,5 to 9 years old,74,76,74,Yes,No,Not applicable,6,Yes,Male,57,Employed full-time,Some college or Associate’s degree,3,1,0,"$20,000 - $39,999",No,823,Cold/Very Cold,6466,16222.984,114.654,0,0,2214.89,15.64,0,0,0,0,582.585,0,3084.76,5
South,East South Atlantic,MICRO,R,Single-family detached house,No,Not applicable,No,Not applicable,Two stories,No,Owned or being bought by someone in your household,Before 1950,7,1,0,Wood,Metal,Most of the time,No,NA,4,40 to 59 inches,7 to 10 hours,4 to 6 hours,Fuel oil/kerosene,68,68,68,No,NA,Yes,Individual window/wall or portable units,Not applicable,75,75,75,Not applicable,Not applicable,Not applicable,2,No,Female,69,Not employed/retired,Less than high school diploma or GED,2,2,5,"$20,000 - $39,999",No,1217,Mixed-Humid,3660,21048,278.794,0,0,2162.53,28.64,0,0,0,0,0,409.292,3217.4,NA
West,Pacific,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,1990 to 1999,1,1,0,Concrete or concrete block,Not applicable,Some of the time,No,NA,1,28 to 39 inches,4 to 6 hours,4 to 6 hours,Electricity,75,61,60,Yes,5,Yes,Central air conditioning system,20 years or older,76,76,80,Not applicable,Not applicable,Not applicable,1,Yes,Female,29,Employed full-time,High school diploma or GED,2,0,2,"Less than $20,000",No,1617,Hot-Dry/Mixed-Dry,2598,4977.481,172.861,0,0,497.68,17.28,0,0,0,0,0,0,497.68,NA
West,Pacific,METRO,R,Single-family detached house,No,Not applicable,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1950 to 1959,7,1,1,Wood,Shingles (composition or asphalt),Never,No,NA,0,Not applicable,Not applicable,Not applicable,Electricity,73,73,73,No,NA,Yes,Individual window/wall or portable units,Not applicable,75,75,75,Not applicable,No,No,1,Yes,Female,27,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,1,5,"$140,000 or more",No,499,Marine,3962,13679.388,0,0,0,1459.31,0,0,0,0,0,0,0,1459.31,NA
South,South Atlantic,METRO,R,Single-family detached house,No,Not applicable,Yes,No,One story,No,Owned or being bought by someone in your household,1970 to 1979,7,2,1,Stucco,Metal,Some of the time,No,NA,2,28 to 39 inches,More than 10 hours,More than 10 hours,Fuel oil/kerosene,68,68,62,No,NA,Yes,Both a central system and individual units,20 years or older,68,68,62,Not applicable,No,Not applicable,5,No,Male,82,Not employed/retired,"Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)",2,0,5,"$100,000 to $119,999",No,1345,Mixed-Humid,4576,12267.839,308.299,0,0,1429.79,35.93,0,0,0,0,52,441.763,2616.7,4
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,Two stories,Yes,Owned or being bought by someone in your household,1970 to 1979,9,3,0,Wood,Shingles (composition or asphalt),Never,No,NA,3,60 inches or more,1 to 3 hours,1 to 3 hours,Natural gas from underground pipes,72,70,68,Yes,3,Yes,Central air conditioning system,Less than 2 years old,70,75,72,Not applicable,No,No,6,No,Female,34,Employed full-time,"Bachelor’s degree (for example: BA, BS)",2,2,5,"$140,000 or more",No,541,Marine,1931,8468.1,127.939,0,0,1957.73,29.58,0,0,741.999,1174.36,0,0,3132.09,NA
West,Pacific,METRO,U,Single-family detached house,No,Not applicable,Yes,No,One story,Yes,Owned or being bought by someone in your household,1960 to 1969,5,1,1,Wood,Shingles (composition or asphalt),Some of the time,No,NA,4,40 to 59 inches,4 to 6 hours,4 to 6 hours,Natural gas from underground pipes,68,65,65,No,NA,No,Not applicable,Not applicable,NA,NA,NA,Not applicable,Not applicable,Not applicable,0,No,Female,40,Employed full-time,High school diploma or GED,3,1,0,"$60,000 to $79,999",No,478,Marine,3994,7417.996,209.315,0,0,516.54,14.54,0,0,454.646,472.91,0,0,989.44,NA
South,South Atlantic,METRO,U,Apartment in a building with 2 to 4 units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Owned or being bought by someone in your household,1980 to 1989,5,2,1,Stucco,Shingles (composition or asphalt),Never,No,NA,3,27 inches or less,1 to 3 hours,1 to 3 hours,Electricity,72,66,69,No,NA,Yes,Central air conditioning system,Less than 2 years old,75,79,73,Not applicable,Not applicable,Not applicable,5,No,Male,67,Not employed/retired,"Bachelor’s degree (for example: BA, BS)",2,0,0,"$60,000 to $79,999",No,3474,Hot-Humid,404,6666.645,36.241,0,0,674.86,3.67,0,0,0,0,0,0,674.86,NA
West,Pacific,METRO,U,Apartment in a building with 5 or more units,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Rented,2000 to 2009,4,1,0,Stucco,Not applicable,Some of the time,No,NA,3,27 inches or less,7 to 10 hours,7 to 10 hours,Electricity,70,60,60,No,NA,Yes,Individual window/wall or portable units,Not applicable,70,80,75,Not applicable,Not applicable,Not applicable,1,No,Female,36,Employed part-time,High school diploma or GED,2,0,5,"$40,000 - $59,999",No,559,Marine,3867,8872.496,110.183,0,0,592.13,7.34,0,0,0,0,0,0,592.13,NA
